device_hardware_key,device_name_detailed,device_name,device_type_generic,device_screen_type,device_platform_type
NULL,NULL,Apple TV,WEB,small,OTT
2021/22 Philips UHD Android TV,2021/22 Philips UHD Android TV,Android TV,WEB,small,OTT
Percee TV,Percee TV,Android TV,WEB,small,OTT
2020/2021 UHD Android TV,2020/2021 UHD Android TV,Android TV,WEB,small,OTT
Telenor Mediahubb,Telenor Mediahubb,Other Operator Android TV box,WEB,small,OTT
MiTV-AESP0,MiTV-AESP0,Android TV,WEB,small,OTT
Dyon 2K Android TV,Dyon 2K Android TV,Android TV,WEB,small,OTT
QM151E,QM151E,Android TV,WEB,small,OTT
BRAVIA 4K VH2,BRAVIA 4K VH2,Android TV,WEB,small,OTT
H10 MAX+,H10 MAX+,Android TV,WEB,small,OTT
D4111,D4111,Android TV,WEB,small,OTT
4KTV-JUP,4KTV-JUP,Android TV,WEB,small,OTT
desktop_mac,desktop_mac,Computer (Mac),WEB,small,OTT
mac_desktop,mac_desktop,Computer (Mac),WEB,small,OTT
Halo,Halo,Android TV,WEB,small,OTT
AFTT,AFTT,Android TV,WEB,small,OTT
D2421,D2421,Android TV,WEB,small,OTT
Tv Hub,Tv Hub,Android TV,WEB,small,OTT
GT1-Mini-AT_ATV,GT1-Mini-AT_ATV,Android TV,WEB,small,OTT
RedPoisonATV_V2,RedPoisonATV_V2,Android TV,WEB,small,OTT
K40DLX11FS,K40DLX11FS,Android TV,WEB,small,OTT
,,Chromecast,CCR,big,OTT
SDOTT0202,SDOTT0202,Android TV,WEB,small,OTT
Nexus Player,Nexus Player,Android TV,WEB,small,OTT
Telia Nordic STB,Telia Nordic STB,Telia Android STB,STB,big,STB
Smart TV Pro,Smart TV Pro,Android TV,WEB,small,OTT
sdk_google_atv_x86,sdk_google_atv_x86,Unidentified Devices,WEB,small,OTT
ASTB 393,ASTB 393,Android TV,WEB,small,OTT
ohm,ohm,Unidentified Devices,WEB,small,OTT
X96Max_Plus_Q1,X96Max_Plus_Q1,Android TV,WEB,small,OTT
BRAVIA 4K 2015,BRAVIA 4K 2015,Android TV,WEB,small,OTT
Formuler Z8,Formuler Z8,Android TV,WEB,small,OTT
iphone,iphone,Mobile phone (Iphone),TAB,small,OTT
C900,C900,Android TV,WEB,small,OTT
MiTV-MOOQ0,MiTV-MOOQ0,Android TV,WEB,small,OTT
DNA Android TV,DNA Android TV,Android TV,WEB,small,OTT
SDMC2100,SDMC2100,Unidentified Devices,WEB,small,OTT
AI PONT,AI PONT,Android TV,WEB,small,OTT
KM3,KM3,Android TV,WEB,small,OTT
LEAP-S1,LEAP-S1,Android TV,WEB,small,OTT
X96Q_Max_Pro,X96Q_Max_Pro,Android TV,WEB,small,OTT
AFTMM,AFTMM,Android TV,WEB,small,OTT
android_phone,android_phone,Mobile phone (Android),WEB,small,OTT
K50DLJ11US,K50DLJ11US,Android TV,WEB,small,OTT
BeyondTV5,BeyondTV5,Android TV,WEB,small,OTT
Nexus q201,Nexus q201,Android TV,WEB,small,OTT
MoGo Pro,MoGo Pro,Android TV,WEB,small,OTT
H50_box,H50_box,Unidentified Devices,WEB,small,OTT
